Series Code,FP.CPI.TOTL.ZG,SI.POV.GINI,per_si_allsi.ben_q1_tot,per_allsp.ben_q1_tot,per_sa_allsa.ben_q1_tot,per_lm_alllm.ben_q1_tot,per_si_allsi.adq_pop_tot,per_allsp.adq_pop_tot,per_sa_allsa.adq_pop_tot,per_lm_alllm.adq_pop_tot,NY.ADJ.ICTR.GN.ZS,SP.POP.GROW,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NE.EXP.GNFS.KD
1996,80.41215114,,,,,,,,,,22.15787239,1.589089637,4.59E+11,7730.923109,66985610034
1997,85.66936165,,,,,,,,,,20.82341854,1.584872715,4.94E+11,8185.975627,79795842494
1998,84.64134348,,,,,,,,,,25.91316476,1.572900714,5.06E+11,8251.957535,90434496561
1999,64.86748764,,,,,,,,,,21.9241142,1.549527326,4.90E+11,7859.941824,81040001840
2000,54.91537058,,,,,,,,,,21.28831231,1.518097003,5.24E+11,8278.259663,96279335182
2001,54.40018876,,,,,,,,,,21.42214539,1.494229784,4.93E+11,7686.542201,1.01E+11
2002,44.96412095,41.4,,,,,,,,,22.23917652,1.473881037,5.25E+11,8062.438298,1.09E+11
2003,21.60243845,42.2,,,,,,,,,20.26446415,1.438721295,5.56E+11,8405.290428,1.18E+11
2004,8.598261681,41.3,2.424260158,3.129408333,21.63115263,,41.87534291,29.58605712,2.675248336,,21.77862156,1.384733924,6.10E+11,9101.755567,1.32E+11
2005,8.179160368,42.6,3.198578268,3.643741061,26.73337113,,43.07301812,30.82047347,1.460487068,,23.0983675,1.323138268,6.65E+11,9789.819592,1.43E+11
2006,9.597242123,39.6,3.852795956,4.507433879,28.95634764,,42.45875054,28.52679344,1.646565345,,24.2224391,1.248866309,7.11E+11,10340.0717,1.51E+11
2007,8.75618091,38.4,3.198514318,4.155850622,39.65155391,,43.41139734,29.53249099,1.743052155,,23.45997727,1.192794254,7.47E+11,10732.78741,1.62E+11
2008,10.44412838,39,4.057310287,5.227451207,41.0579018,,41.29566828,27.89619879,1.91188846,,24.21432784,1.195376089,7.53E+11,10691.68943,1.68E+11
2009,6.250976631,39,4.636099388,5.85054391,34.56550565,9.908779135,40.40612177,34.80593635,6.366997428,7.960025279,21.66477783,1.2738919,7.17E+11,10047.20357,1.62E+11
2010,8.566444206,38.8,4.165901185,5.582066212,35.42940129,6.176779509,42.57723455,37.29828619,7.764406279,8.616787824,21.49966996,1.40009289,7.77E+11,10742.43007,1.65E+11
2011,6.471879671,40,3.977484692,5.226522728,33.85349985,8.133702399,41.54811115,36.81624036,7.421280765,11.77537901,22.66368006,1.532400817,8.64E+11,11763.93516,1.86E+11
2012,8.891569965,40.2,5.529293416,6.723114445,38.42980911,5.415404659,42.49174509,38.09492016,7.651510447,9.663586855,22.97901554,1.632957935,9.05E+11,12127.58618,2.13E+11
2013,7.493090305,40.2,5.405040421,6.50290096,42.83612949,5.552737675,42.21286834,37.70021392,5.979060317,7.682839372,23.40719179,1.694202585,9.82E+11,12935.6872,2.23E+11
2014,8.854572714,41.2,5.597481786,6.487287886,36.71400523,5.09804359,42.6875069,37.93474927,5.773563029,6.332017744,24.64882419,1.701972386,1.03E+12,13345.5911,2.39E+11
2015,7.670853648,42.9,4.518133614,5.605273854,39.62032673,9.46229905,42.85256287,38.02104507,6.704175033,6.732845155,25.07187438,1.666051682,1.09E+12,13923.68289,2.47E+11
2016,7.775134153,41.9,4.927739161,6.09190829,43.92224583,4.932119648,44.74429158,39.38843786,6.506803327,7.504650378,24.7416835,1.632250641,1.13E+12,14153.4629,2.43E+11
2017,11.14431108,41.4,,,,,,,,,25.84055749,1.591059209,1.21E+12,14975.08728,2.73E+11
2018,16.3324639,41.9,,,,,,,,,27.47140649,1.490444868,1.25E+12,15190.09947,2.97E+11
2019,15.17682157,,,,,,,,,,,1.339260351,1.26E+12,15125.39112,3.12E+11
2020,,,,,,,,,,,,,,,
